taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled
2639762660	Bacteria	Permanent Draft	"Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA"	Geotoga petraea WG14	DOE Joint Genome Institute (JGI)	2639762660	2166325	2143
2770939550	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Parasphingopyxis lamellibrachiae DSM 26725	DOE Joint Genome Institute (JGI)	2770939550	2947125	2953
2724679731	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Rhodoblastus acidophilus DSM 137	DOE Joint Genome Institute (JGI)	2724679731	4711496	4496
2751185746	Bacteria	Finished	Thioclava sp. Genome sequencing	Thioclava nitratireducens 25B10_4	"The Third Institute of Oceanography, Key Laboratory of Marine Biogenetic Resources"	2751185746	4238255	4213
2639763143	Bacteria	Finished	Sequencing of Burkholderia mallei genomes - LANL	Burkholderia mallei 11	Los Alamos National Laboratory	2639763143	5913134	5173
647533243	Bacteria	Permanent Draft	Verrucomicrobiales sp. DG1235	Verrucomicrobiales sp. DG1235	J. Craig Venter Institute (JCVI)	647533243	5775745	4957
2711768198	Bacteria	Permanent Draft	Arsukibacterium Genome sequencing	Arsukibacterium ikkense GCM72	University of Copenhagen	2711768198	4124371	3812
2724679813	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Roseibium denhamense DSM 15949	DOE Joint Genome Institute (JGI)	2724679813	4849775	4506
2579778730	Bacteria	Permanent Draft	Siccibacter colletis 1383 Genome sequencing	Siccibacter colletis 1383	Trent University	2579778730	4255520	4141
2508501046	Bacteria	Finished	Biogeochemically important bacteria	Azospira suillum PS	DOE Joint Genome Institute (JGI)	2508501046	3806980	3539
2634166410	Bacteria	Finished	"CSP_788284, Zymomonas mobilis strains"	Zymomonas mobilis mobilis ATCC 29191	DOE Joint Genome Institute (JGI)	2634166410	2008345	1847
2523533543	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Aliagarivorans marinus DSM 23064	DOE Joint Genome Institute (JGI)	2523533543	4880341	4520
2562617187	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Simonsiella muelleri ATCC 29453	Broad Institute	2562617187	2343541	2340
2684623061	Bacteria	Finished	Lysobacter genome sequencing	Lysobacter antibioticus 76	Netherlands Institute of Ecology	2684623061	5916388	4826
2698537049	Bacteria	Permanent Draft	Development of a pipeline for high-throughput recovery of near-complete and complete microbial genomes from complex metagenomic datasets	Kordiimonadales bacterium JGI CrystG Aug08-3-G5 (contamination screened)	DOE Joint Genome Institute (JGI)	2698537049	341126	355
2515154077	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	"Asticcacaulis benevestitus DSM 16100, ATCC BAA-896"	DOE Joint Genome Institute (JGI)	2515154077	4987073	4633
2595699009	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Afifella marina DSM 2698	DOE Joint Genome Institute (JGI)	2595699009	3963421	3731
637000088	Bacteria	Finished	Dechloromonas aromatica RCB	Dechloromonas aromatica RCB	DOE Joint Genome Institute (JGI)	637000088	4501104	4302
2523231065	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Oceanobacter kriegii DSM 6294	DOE Joint Genome Institute (JGI)	2523231065	4507818	4035
2517287033	Bacteria	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	Methylobacter luteus IMV-B-3098	DOE Joint Genome Institute (JGI)	2517287033	5029135	4675
2687453316	Bacteria	Finished	Bosea sp. PAMC 26642 Genome sequencing	Bosea sp. PAMC 26642	Korea Polar Research Institute (KOPRI)	2687453316	5510355	5325
2718218407	Bacteria	Finished	Genome sequencing as part of FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences project	Citrobacter amalonaticus FDAARGOS_122	"US Food and Drug Administration, Institute for Genome Sciences, University of Maryland School of Medicine"	2718218407	4904610	4726
642555147	Bacteria	Finished	Phenylobacterium zucineum HLK1	Phenylobacterium zucineum HLK1	Beijing Genomics Institute (BGI)	642555147	4379231	3899
644736379	Bacteria	Finished	DOEM_782025	Kosmotoga olearia TBF 19.5.1	DOE Joint Genome Institute (JGI)	644736379	2302126	2221
2693429859	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Aidingimonas halophila DSM 19219	DOE Joint Genome Institute (JGI)	2693429859	3886483	3701
2654587882	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Desulfoluna spongiiphila AA1	DOE Joint Genome Institute (JGI)	2654587882	6535106	5339
2718218024	Bacteria	Finished	Thalassotalea sp. LPB0090 Genome sequencing	Thalassotalea crassostreae LPB0090	Korea University	2718218024	3861670	3401
2554235119	Bacteria	Permanent Draft	Euryhalocaulis caribicus JL2009	Euryhalocaulis caribicus JL2009	Xiamen university	2554235119	3323095	3261
2663762746	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Mameliella alba CGMCC 1.7290	DOE Joint Genome Institute (JGI)	2663762746	5258327	5185
2574179735	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Pelagicola litoralis DSM 18290	DOE Joint Genome Institute (JGI)	2574179735	3642925	3694
2654587768	Bacteria	Finished	Comparative genomic insights into amoeba endosymbionts - University of Virginia	Candidatus Paracaedibacter acanthamoebae PRA3	University of Virginia	2654587768	2485110	2347
2765235802	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Phyllobacterium bourgognense 31-25a	DOE Joint Genome Institute (JGI)	2765235802	5618596	5662
2770939636	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Roseiarcus fermentans DSM 24875	DOE Joint Genome Institute (JGI)	2770939636	6792213	6278
